stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\EDUAR\source\repos\JogoAllegro\Debug\allegro5.cfg r
display  D   display_settings.c:398  _al_score_display_settings       [   0.08825] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08836] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08852] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08863] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08873] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08881] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08894] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08902] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08917] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08928] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08938] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.08952] Trying format 0.
d3d      I         d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.09137] Chose a display format: 23
d3d      I         d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.09150] Normal window.
d3d      I         d3d_disp.cpp:781  d3d_create_device                [   0.51040] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   0.53294] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   0.53309] Success
d3d      D         d3d_disp.cpp:1691 d3d_create_display_internals     [   0.53325] Resumed after wait.
d3d      I         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.53336] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1755 d3d_create_display_internals     [   0.53348] Returning d3d_display: 036512B8
d3d      D         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.53355] al_display=036512B8
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.53364] al_display->vt=036266B8
system   D            wsystem.c:738  maybe_parent_dir                 [   0.53389] Also searching C:\Users\EDUAR\source\repos\JogoAllegro\
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.53449] PathFindOnPath found: C:\Windows\system32\d3dx9_43.dll
system   D            wsystem.c:699  load_library_at_path             [   0.53458] Calling LoadLibrary C:\Windows\system32\d3dx9_43.dll
system   I            wsystem.c:702  load_library_at_path             [   0.54508] Loaded C:\Windows\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.54528] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.54683] added dtor for queue 01273718, func 0F8C2392
font     W               font.c:368  al_init_font_addon               [   0.54705] Font addon already initialised.
dtor     D               dtor.c:196  _al_register_destructor          [   0.54725] added dtor for bitmap 0DD7FDB0, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.54792] added dtor for bitmap 0DD99A40, func 0F8C2243
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.55056] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.55075] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.55085] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.55095] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.55105] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.55115] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.55129] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.55140] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.55151] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.55162] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.55171] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.55182] Found a format
d3d      I         d3d_disp.cpp:2377 d3d_create_bitmap                [   0.55193] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.55227] added dtor for bitmap 0DDB3880, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55270] added dtor for sub_bitmap 0DE06728, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55283] added dtor for sub_bitmap 0DE068A0, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55295] added dtor for sub_bitmap 0DE06A18, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55306] added dtor for sub_bitmap 0DE06B90, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55318] added dtor for sub_bitmap 0DE06D08, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55330] added dtor for sub_bitmap 0DE06E80, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55351] added dtor for sub_bitmap 0DE06FF8, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55366] added dtor for sub_bitmap 0DE07170, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55381] added dtor for sub_bitmap 0DE072E8, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55397] added dtor for sub_bitmap 0DE07460, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55412] added dtor for sub_bitmap 0DE075D8, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55426] added dtor for sub_bitmap 0DE07750, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55438] added dtor for sub_bitmap 0DE078C8, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55450] added dtor for sub_bitmap 0DE07A40, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55462] added dtor for sub_bitmap 0DE087A0, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55477] added dtor for sub_bitmap 0DE08918, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55487] added dtor for sub_bitmap 0DE08338, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55497] added dtor for sub_bitmap 0DE07BE0, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55505] added dtor for sub_bitmap 0DE08048, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55516] added dtor for sub_bitmap 0DE08628, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55530] added dtor for sub_bitmap 0DE07D58, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55541] added dtor for sub_bitmap 0DE07ED0, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55558] added dtor for sub_bitmap 0DE081C0, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55575] added dtor for sub_bitmap 0DE084B0, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55584] added dtor for sub_bitmap 0DE094B8, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55591] added dtor for sub_bitmap 0DE09F00, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55614] added dtor for sub_bitmap 0DE0A948, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55637] added dtor for sub_bitmap 0DE0A078, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55654] added dtor for sub_bitmap 0DE09050, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55676] added dtor for sub_bitmap 0DE091C8, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55696] added dtor for sub_bitmap 0DE09630, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55717] added dtor for sub_bitmap 0DE09340, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55731] added dtor for sub_bitmap 0DE097A8, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55746] added dtor for sub_bitmap 0DE09920, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55760] added dtor for sub_bitmap 0DE09A98, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55776] added dtor for sub_bitmap 0DE09D88, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55789] added dtor for sub_bitmap 0DE0A1F0, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55810] added dtor for sub_bitmap 0DE09C10, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55824] added dtor for sub_bitmap 0DE0A368, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55837] added dtor for sub_bitmap 0DE0A4E0, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55849] added dtor for sub_bitmap 0DE0A658, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55861] added dtor for sub_bitmap 0DE0A7D0, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55869] added dtor for sub_bitmap 0DE08BE8, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55880] added dtor for sub_bitmap 0DE08D60, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55891] added dtor for sub_bitmap 0DE08ED8, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55904] added dtor for sub_bitmap 0DE0B058, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55916] added dtor for sub_bitmap 0DE0B7B0, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55930] added dtor for sub_bitmap 0DE0AEE0, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55941] added dtor for sub_bitmap 0DE0BAA0, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55953] added dtor for sub_bitmap 0DE0C660, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55966] added dtor for sub_bitmap 0DE0B1D0, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55982] added dtor for sub_bitmap 0DE0BF08, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.55993] added dtor for sub_bitmap 0DE0B348, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.56005] added dtor for sub_bitmap 0DE0B4C0, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.56017] added dtor for sub_bitmap 0DE0ABF0, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.56028] added dtor for sub_bitmap 0DE0C080, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.56039] added dtor for sub_bitmap 0DE0B928, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.56051] added dtor for sub_bitmap 0DE0B638, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.56061] added dtor for sub_bitmap 0DE0BC18, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.56068] added dtor for sub_bitmap 0DE0C7D8, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.56078] added dtor for sub_bitmap 0DE0C950, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.56088] added dtor for sub_bitmap 0DE0C4E8, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.56098] added dtor for sub_bitmap 0DE0BD90, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.56109] added dtor for sub_bitmap 0DE0C1F8, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.56121] added dtor for sub_bitmap 0DE0C370, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.56135] added dtor for sub_bitmap 0DE0AD68, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.56149] added dtor for sub_bitmap 0DE0F670, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.56162] added dtor for sub_bitmap 0DE0E938, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.56174] added dtor for sub_bitmap 0DE0E4D0, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.56184] added dtor for sub_bitmap 0DE0F4F8, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.56197] added dtor for sub_bitmap 0DE0DD78, func 0F8C2243
dtor     D               dtor.c:196  _al_register_destructor          [   0.56209] added dtor for sub_bitmap 0DE0E068, func 0F8C2243
